Temp_F,COP_Low_Stage,COP_High_Stage,Cap_Low_Stage_kBtu_hr,Cap_High_Stage_kBtu_hr
65,6.02,4.96,21.21,28.42
60,5.75,4.7,19.75,26.68
55,5.48,4.44,18.32,24.97
50,5.19,4.17,16.91,23.29
47,4.99,4,16.02,22.2
45,4.83,3.87,15.33,21.41
40,4.41,3.55,13.61,19.43
35,4.02,3.23,12.04,17.56
30,3.7,2.98,10.77,16.03
25,3.48,2.8,9.82,14.91
20,3.33,2.67,9.1,14.09
17,3.25,2.6,8.71,13.65
15,3.11,2.5,8.23,13.08
10,2.74,2.25,7.01,11.66
5,2.34,1.99,5.79,10.23
0,1.92,1.73,4.58,8.81
-5,1.46,1.47,3.36,7.38
